spm,svar
"Hei, Har hatt dialog med Sparebank 1 og de har sendt meg en logg. Men den viser ikke påloggings-forsøket som jeg fikk på min mobiltelefon kl 09:43 8.september 2023 som kom via ID-porten.Har dere mulighet for å sende meg dette?","Det vil være veldig vanskelig å finne ut dette i loggene våre. Jeg kan prøve å forklare hvorfor. Når en bruker går til en ID-porten innlogging og velger BankID, så sendes brukeren til BankID sin OIDC-klient for å autentisere seg, på dette tidspunktet vet ikke ID-porten hvem brukeren er. Vi får først vite dette dersom brukeren logger inn, for da kommer fødelsnummeret tilbake til oss. I ditt tilfelle, så avviser du helt korrekt en ukjent forespørsel på mobilen din, men det betyr også at vi ikke vet/ser at du har prøvd å logge inn. Vi logger derimot alle forespørsler mot BankID, men det vil være umulig å vite hvilken av forespørslene som tilhører deg ettersom vi har flere tusen forespørsler mot BankID i sekundet. Så vi har desverre ikke nok informasjon til å finne den spesifikke forespørselen."
Vi lager en IOS App for å tilby kundene våre en digital visning av sine maritime sertifikater.  For at Apple skal godkjenne denne så må de kunne logge seg inn som en bruker. Hvordan kan vi få dette til når vi bruker pålogging med ID Porten?  Vi ser at Vegvesenet bruker samme pålogging; vet dere hvordan de kunne tilby dette for Apple?,Hei. De kan bruka: 03030867938 Innloggingsmetode: MinID Passord: password01 Eingongskode: 12345   ---
"Hei,Vi får feilmelding når vi skal hente ut reportees på denne brukeren: Unable to get reportees from Altinn due to BadRequest User profile could not be found for 03030867938. User profile is created at first login to the Altinn.no portal.\"" Det ser ikke ut som jeg kan logge meg på med denne brukeren i Altinn, og opprette profil.""","Hei.Det ser ut som me har ei utfodring her når det kjem til testbrukarar i prod.Altinn har ei validering mot FREG, og sidan denne personen ikkje eksisterer i Folkeregisteret vil de ikkje komma inn her - same gjeld for innlogging i Skattteetaten. Med andre ord, de må finna ei anna løysing her for at Apple skal kunne testa på si side. Eg skal ta runden på huset og sjekka om dette er noko som vert tatt høgde for i nye ID-Porten, men per i dag får ein altså ikkje gitt roller eller rettighetar til testbrukar i prod."
"Hei,Ville da bare etterspørre siste nytt om fremgang / implementering av eIDAS for Norge ?https://ec.europa.eu/digital-building-blocks/wikis/pages/viewpage.action?pageId=507183385","Hei, Det er planlagt full reimplementasjon og oppgradering av den norske noden i Q1-Q2 2024."
Hei. Vi har fortsatt problemer med innsynsbegjæringer fra eInnsyn for Vennesla kommune. Kan dere sende oss en oversikt over sendte innsynsbegjæringer for Vennesla kommune i periode 27.09 – 02.10? På forhånd takk,"""hei DesKI kan i dag ikke besvare spørsmål om konkrete innsynsbegjæringer ta kontakt med servicedesk på: servicedesk@digdir.no"""
"Hei Vi opplever mye feil ved sending via DPI fra oss.Ser at saksbehandlere på Tinglysing og Eiendom ofte har filer med veldig lange filnavn og med mange sær-tegn….Eks: Vedtak i navnesak 2019/48 – Nyset, Breisjøen, Sjurdhus med flere i Alvdal og Tynset kommuner.pdf Finnes det en oversikt over hva som er tillatt i forhold til lengde på filnavn og hvilke tegn som er lovlige for de forskjellige kanalene (DPI, DPO, DPF, DPV)?Jeg finner ingen info om dette på sidene deres.en er det tillatt med komma, bindestrek, skråstrek, mellomrom og andre spesialtegn",Hei! For encoding av filnavn må en bruke UTF-8 eller ISO 8859-1.For filnavn mener jeg 100 tegn er maxgrense. så lenge spesialtegn blir encodet av sakarkiv så skal det gå fint
"Hei.  Nå me sender ut fleire e-signerings oppdrag til same person, med ei tid imellom utsendingane, så har det blitt sendt i same oppdrag. Kor lang tid må det gå før det blir oppretta nytt og ikkje i same oppdrag?Me har opplevd to gonger nå at vedkomande berre har signert på det første og ikkje sett at det ligg fleire oppdrag i e-posten, så det er uheldig at det ikkje visar betre.  Håpar de kan forklare korleis me løyser dette på best mogleg måte","Hei,Det skal være et 1:1-forhold mellom signeringsoppdrag og varsel. Kan dere dobbeltsjekke med undertegner om det kan ha kommet flere varsler?Undertegner kan også logge inn på https://signering.posten.no. Der finner de oversikt over alle oppdrag, både signerte og usignerte. Dere kan også sjekke om dere har logikk i avsendersystemet deres som slår sammen varsler hvis oppdrag opprettes tett nok. Dersom det er tilfelle må dere ta det videre med leverandøren deres."
"Hei,Jeg ser at Til/fra på eInnsyn ikke inneholder informasjon når dokumentet er Internt. Er det en grunn til at Til/fra ikke synliggjøres når det er interne dokumenter?Statens vegvesen har fått spørsmål om dette fra Sivilombudet. Er det vi i Statens vegvesen som ikke sender informasjonen fra arkivsystemet vårt inn til dere eller er det eInnsyn som ikke viser dette?","Hei,Feltet for avsender / mottaker på organ interne mottakere har ingenting med hva virksomheten sender. Feltet er satt til å ikke vise den informasjon vi mottar. Årsaken til dette er erfaringer med arkivsystem som har sendt med for mye informasjon i feltet, spesielt gjelder dette for virksomheter som ikke vil eksponere sine ansatte. Forsvaret er en slik virksomhet."
"Hej, Jag skulle behöva hjälp med att registrera ett verksamhetscertifikat för att använda FRegs webbtjänster. Hei, Vi (Ninetech) jobbar på uppdrag av C-Optikk i Kongsberg. Då vi är ett svenskt företag kan vi inte registrera certifikatet i Maskinporten då det kräver norsk identifiering. Vi har idag oppsatt klientuppgifter som behöver oppdateras varje år. Senast vi skulle göra det var det så komplicerat så Thor Kristian fick hjälpa oss. För att undvika detta i framtiden har vi/C-Optikk i stället skaffat ett verksamhetscertifikat, men vi skulle behöva hjälp att registrera det i Maskinporten.  Problemet är att vi är teknikerna men kan inte identifiera oss då vi inte är norska medborgare. C-Optikks VD kan identifiera sig men kan inte tekniken. Moment 22 alltså","Hei, Det som då vil vere enklast er at du byttar ut kid med x5c, og legg til sertifikatet.Det vil vere betre enn og legge det direkte på klienten, sidan du ikkje får endra det i sjølvbeteningsløysinga"
"Hei Kan dere hjelpe i denne saken. Kunden får ikke logget inn på Altinn i PROD med denne brukeren og passord og kode dere har gitt dem. Kan dere hjelpe oss slik at de får logget inn og gitt samtykke til å «åpne» denne brukeren. Når jeg logger inn med MinID her, så kommer jeg bare rett til siden der du kan logge inn med Altinn koder/passord.","Hei, her har me ei utfordring. Desse testbrukarane finnes ikkje i folkeregisteret, og reknar med Altinn har ei validering for å sjekka at denne personen faktisk eksisterer.per i dag får dei altså ikkje tilgang til å delegera rettigheter til ein fiktiv person i prod."
Hei! Per nå er Samarbeidsportalen-kontoen min koblet til Knowit AS (997725646). Ettersom det er Knowit Objectnet (980 713 520) jeg er tilknyttet ber jeg om å flyttes over hit. Videresender med mail mellom dere og annen kollega av meg for å forklare situasjonen,"Hei, deski kan i dag ikke endre tilknyttinger i sammarbeidsportalen, ta kontakt med servicedesk@digdir.no"
Hei metrologisk institutt2 ønsker ta i bruk eInnsyn,"Vi har mottatt et skjema fra dere med ønsket om å ta i bruk eInnsyn. Det skal vi selvsagt få til. Dere skriver at dere vil gå direkte inn i produksjon, og det skal gå fint. For å komme i gang med prosessen trenger vi å få oversendt public delen av virksomhetssertifikatet deres (autentiseringssertifikatet) i enten *.crt eller *.cer filformat. Det vil også være nødvendig å installere integrasjonspunktet som kommer til å levere meldinger til eInnsyn. Installasjonsveiledning finner dere her: https://docs.digdir.no/docs/eFormidling/installasjon/, Har dere avklart med leverandøren om dere skal bruke einnsyn-klient eller om dere vil gå for direkteintegrasjon mellom sak/arkivsystemet og integrasjonspunktet? Nyttige lenker: Om eInnsyn: https://samarbeid.digdir.no/einnsyn/einnsyn/21 Ta i bruk eInnsyn: Her finner dere detaljert informasjon om onboardingsprosessen: https://samarbeid.digdir.no/einnsyn/ta-i-bruk-einnsyn/99, Les og signer bruksvilkår for eInnsyn: https://samarbeid.digdir.no/einnsyn/bruksvilkar-einnsyn/71, Teknisk dokumentasjon rundt eInnsyn: https://docs.digdir.no/docs/eInnsyn/einnsyn_install_forutsetninger_verktoy , Virksomhetssertifikat: https://docs.digdir.no/docs/eFormidling/installasjon/forberede_installasjon#bestille-virksomhetssertifikat, Hvem som skal settes opp som admin på einnsyn.no? Send oss gjerne navn, e-postadressen og mobnr. NB. samme konto kan ikke brukes av flere. Vi anbefaler at minst to stk har admin tilgan. Det kan også opprettes i etterkant dersom flere vil trenge admin tilgang."
"Hei DigDir!  Vi har hatt flere test brukere gjennom IDporten for testing av bestilling av varer som kunden har på resept. I dag har ingen av brukerne vi bruker for test noen reseptinformasjon. Vi har tidligere brukt disse «personen», men de har ingen resept på seg lenger:15076500565210164009521205790049913116900216 Fant dessverre ikke noen her heller https://docs.digdir.no/docs/idporten/idporten/idporten_testbrukere.html Kan dere hjelpe oss med slike testbrukere?","Hei,Vi kan ikke tilordne reseptinformasjon. Hvordan fikk dere ordnet dette forrige gang?"
"Hei, vi har hatt de testbrukerne lenge før jeg startet i Vitusapotek så usikker på hvor de kommer fra, men vil tro de stammer fra dere. Det er i forbindelse med testing av kjøp av reseptvarer i vårt testsystem gjennom IDporten autentisering https://idporten-ver2.difi.no/opensso/UI/Login?realm=/norge.no&spEntityID=qa1.vitusapotek.no&service=IDPortenLevel4List&goto=http://idporten-ver2.difi.no/opensso/SSORedirect/metaAlias/norge.no/idp4?ReqID%3D_729c8fc5-0730-44cc-9749-941636af036e%26index%3Dnull%26acsURL%3D%26spEntityID%3Dqa1.vitusapotek.no%26binding%3D#/login, Vår leverandør har gjort nødvendige endringer pga utfasingen av SAML og etter dette fungerte ikke testbrukerne lenger . Vet du eventuelt hva som skal til for å få dette til å fungere?  I produksjonsmiljøet så henter vi reseptinformasjon fra Reseptformidleren, etter idporten autorisering. Vil det si at kanskje reseptformidleren har et testmiljø og kan tildele testpersonene under resepter kanskje?",Hei! Dere må kontakte Norsk Helsenett. De skal kunne hjelpe med dette.
"Hei, Kan dere sjekke grunnen til at request med trace id 730d09b5563377ad465184b5813ad05a"" ble avvist av maskinporten test? Vi fikk ""Invalid assertion. Grant has been used before"", men vi generer unike JWT-er for hvert kall. Det er dog mulig at en annen container gjorde en request sånn ca akkurat samtidig. Differ dere selve JWT-en, eller kun innholdet?, Hei! Beklager, her hadde jeg en liten kortslutning - glemte at PKCS1-v1_5 er deterministisk, så vi vil selvsagt rett og slett generere samme token flere steder her.Du kan se bort i fra denne forespørselen, beklager!""","Hei. Sjekk ut https://docs.digdir.no/docs/Maskinporten/maskinporten_protocol_jwtgrant.html, for riktig oppsett på JWT grant. Du kan eventuelt sende over JWT så skal me sjå litt nærare på det.Den er god"
"Hei, testbrukeren med nummer 08089408084"" (https://docs.digdir.no/docs/idporten/idporten/idporten_testbrukere.html) får feilmeldingen: Bruken av ditt sikkerhetselement har feilet for mange ganger. Sikkerhetselementet er nå sperret. Det kan være fordi feil engangskode er tastet inn for mange ganger eller at det har blitt blokkert. Ta kontakt med banken som har utstedt din BankID. Det er litt uheldig, da vi har et par apper i review med Apple og Google der de bruker akkurat den testbrukeren for å reviewe med, og kan dermed ikke logge inn. Er det noe dere kan gjøre for å resette testbrukeren?""","brukeren må resetes, per dags dato kan ikke desKI gjøre dette ta kontakt med servicedesk på servicedesk@digdir.no"
"Hei, Denne supporthenvendelsen gjelden Postens signeringsportal, forstår det slik at denne e-postadressen da er riktig adresse når det gjelder offentlige virksomheter? Ber om at dere videresender eller informerer oss om riktig adresse dersom det ikke stemmer. Vi har oppdatert et virksomhetssertifikat i vår sakarkivløsning (WebSak), og tilbakemeldingen fra leverandør (Acos) er at vi bør dobbeltsjekke om vi i den sammenheng også trenger å samkjøre med dere for at funksjonalitet fortsatt skal fungere. Gjelder nytt sertifikat med følgende info: serienr 38545f069ee86446a256   (266008896877896149672534)thumbprint 68daec45f259aaaeb2a1e8bedc00fcb0bc1ea7cf Acos-konsulent kommenterer at han ser at «Posten skal også verifisere avsender via sertifikat, så ta en sjekk på om de oppdaterer selv eller om dere bør sende informasjon, eventuelt *.cer-fil til dem også». Kan dere bistå oss med avklaring på dette?","Hei, Dere trenger ikke å samkjøre noe med oss. Det holder at dere bytter sertifikat i Websak."
"Hei, Hvordan får jeg tilgang til Holta & Håland Bilvaskutstyr AS (Org nr 990 759 812) på min side, ikke registert ennå","Hei. Dere er ikke registrert hos oss. For å bli kunde hos oss så må dere bli gitt tilgang, det gjøres ved at dere finner en tjeneste dere ønsker å sette opp på samarbeidsportalen vår: https://samarbeid.digdir.no/Inne på hvert av produktsidene så er det en <Ta i bruk> side som beskriver stegvis hvordan dere setter opp tjenesten, i løpet av den prosessen kommer dere til å sende inn et skjema til oss. Vi kommer da til å ta en vurdering av virksomheten deres for å se om dere kvalifiseres til å få tilgang òg om dere er får bruke fellesløsningene. Blir dere godkjent så vil dere få tilgang. Håper dette hjelper."
"Hei,Vi planla å gå over til de nye endepunktene for maskinporten, siden vi fortsatt kjørte på de gamle URLene som blir faset ut etterhvert.Vi gjorde dette først i testmiljøet vårt ved å bytte ut disse https://oidc-ver2.difi.no/idporten-oidc-provider/tokenhttps://oidc-ver2.difi.no/idporten-oidc-provider/medhttps://test.maskinporten.no/tokenhttps://test.maskinporten.no/ ,Dette fungerte helt fint uten at vi trengte å gjøre noe mer.Når vi i dag skulle bytte ut i produksjon hvor vi byttet disse https://oidc.difi.no/idporten-oidc-provider/tokenhttps://oidc.difi.no/idporten-oidc-provider/ medhttps://maskinporten.no/tokenhttps://maskinporten.no/så fikk vi feilmeldingen Invalid assertion. Client authentication failed. (trace_id: 0c492ecce585913c151d76f59570278b)""Ifølge feilsøkingssiden deres så er dette antageligvis feil clientID, men denne har vi ikke endret noe på. Siden det fungerte i testmiljøet så er jeg litt i tvil hvordan vi skal gå frem, men ser dere hva som kan være feil? Kan det være at clientID som vi bruker er satt opp som idporten e.l. og ikke maskinporten så vi heller må bruke disse for å hente ut token?https://idporten.no/tokenhttps://idporten."", Hei, Klienten var litt rart"" satt opp. Det var en maskinporten-klient som inneholdt scopene openid og profile, det gjør at systemet tolker den til en ID-porten klient. Jeg har fjernet openid og profile nå","og latt ks:fiks stå igjen. Prøv igjen"""
Da skal vi gjøre et nytt forsøk etterhvert Men bare så jeg har forstått det riktig; Om vi hadde brukt idporten.no/token endepunktet ville det da fungert før du fjernet de to scopene? Eller ville den da feilet fordi vi egentlig har en maskinporten integrasjon som vi forsøker å bruke mot idporten?,Jeg tror klientoppsettet gjør at nye ID-porten hadde avslått klienten også. Fordi den godtar ikke jwt som grant types lenger. (Mener jeg). Denne type bruk skal ut av ID-porten i hvert fall
"Hei igjen,Vi gjorde et nytt forsøk igjen i dag, men fikk nå en Invalid JWT claim aud"" med trace ae3c0ff2d7750c61f4c7f93af3e2cf05Vi konfigurerte audience til å være https://maskinporten.no/ ,men ser ut som dette fortsatt genererte feil. Vi gikk mot https://maskinporten.no/token ,Får dere sett hva som er feil her? Ser dere hvilken audience vi sender siden den sier det er feil?, """,Kan du sende meg JWT-en som feilet?
"Hei! Lurte på om dere hadde en tilbakemelding på dette.For å spisse litt – vi får nå til å logge inn vedhjelp av TestID. Men er det noen av tenor-identitene som ligger inne med kontaktadresse i testmiljøet deres, slik at vi kan teste uthenting av slik kontaktinfo?","De kan registrere brukarar ved å følge vegleiinga på denne sida: https://docs.digdir.no/docs/idporten/idporten/idporten_testbrukere#opprette-testbruker-syntetisk-pid-selv-i-testmilj%C3%B8et-test Når brukar er registrert vil den òg få status AKTIV"" i KRR."""
"Hei!Fra og med 27. september kl 07:57 så har vi sendt 6055 meldinger hvor så å si alle får status «FEIL» med denne feilmeldingen.  Vi finner ingen av dem igjen i transaksjonsloggen. {  id"": 3212711,  ""lastUpdate"": ""2023-09-29T04:46:13.461+02:00"",  ""status"": ""FEIL"",  ""description"": ""Request to receiver '01015445315' failed delivery over DPI - Moved to DLQ""} Hva betyr dette? Kommer meldingene frem til mottaker på et vis eller hvordan forholder vi oss til denne?""","Hei!Det kan se ut som dere ikke fikk med dere denne:https://kontaktregisteret.no/rest/v2/printSertifikat og at dere er på en eldre versjon så om dere ikke har tid til å oppgradere så legger dere inn denne i properties og restarter integrasjonspunktene, difi.move.dpi.krr-print-url=https://test.kontaktregisteret.no/rest/v2/printSertifikat"
"Vi la inn https://kontaktregisteret.no/rest/v2/printSertifikat , slettet database-filene og loggene og restartet Integrasjonspunktet, men fikk det ikke til å fungere. Så jeg tenker vi går for en full oppgradering til siste versjon som ligger ute. Altså: 2.23.0. For å få dette til å fungere i test må vi ha ny brannmuråpninger mot testmiljøet deres eller ligger peker URL i Test mot samme IP som i prod?",Begge krever ny brannmuråpning
Vi har to stk meldinger som får status «Opprettet» som vi ikke ser i transaksjonsloggen. Kan du sjekke hva som har skjedd med disse og hva kan vi gjøre for å unngå at meldinger havner i Opprettet? Må disse sendes på nytt eller er de håndterte?,"Dette er meldinger uten reciever som mangler noe i SBDen, mest sannsynlig i adressefelt for mottaker eller returpost. Disse vil alltid feile om ikkje SBDen er gyldig."
Hvordan kan vi abonnere på kommende endringer hos dere i fremtiden?,Dere kan abonnere på alle våre løsninger på https://status.digdir.no/
"Hei,  Vi jobber med å gå over til «nye ID-porten». Vi har generert identiske integrasjoner som vi hadde på gammel platform under test/V2. Vi stopper opp på steget /token (markert i gult i flytskjemaet under) med status 401 og melding: error:""invalid_client"",error_description:""Invalid client: Possible causes may be 1. missing \/ invalid client_id; 2. missing client authentication; 3. invalid or expired client secret; 4. invalid or expired JWT authentication; 5. invalid or expired client X.509 certificate; 6. an unexpected client authentication method Vi har gått ut i fra at integrasjoner på opprettes under test nå inne på selvbetjening også vil bruke den nye ID-porten for Test-Apiene, og da har vi brukt «https://test.idporten.no/.well-known/openid-configuration» som well known URL. Kan vi få verifisert at vi har brukt riktig well-known-URL, og hvis det er tilfellet, er det noe måte vi kan få hjelp til å identifisere mer nøyaktig hva som gjør at vi får status 401 fra /token-endepunktet?""",Har du ein client_ID og eventuelt ein trace_ID for feilsøking?
